tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2,tbl6pk
Table 6,2024,3,30135,30194,"Allentown/Bethlehem/Easton, PA","Dallas/Fort Worth, TX",1307,18,367.69,AA,0.4110,376.60,AA,0.4110,376.60,0,,,202433013530194
Table 6,2024,3,30135,30325,"Allentown/Bethlehem/Easton, PA","Denver, CO",1539,89,138.60,G4,0.8773,110.43,G4,0.8773,110.43,0,,,202433013530325
Table 6,2024,3,30135,30397,"Allentown/Bethlehem/Easton, PA","Atlanta, GA (Metropolitan Area)",692,107,319.69,DL,0.9553,320.89,AA,0.0142,298.65,0,,,202433013530397
Table 6,2024,3,30135,30423,"Allentown/Bethlehem/Easton, PA","Austin, TX",1441,13,256.48,AA,0.3740,253.39,AA,0.3740,253.39,0,,,202433013530423
Table 6,2024,3,30135,30693,"Allentown/Bethlehem/Easton, PA","Nashville, TN",685,46,130.88,G4,0.7316,75.84,G4,0.7316,75.84,0,,,202433013530693
Table 6,2024,3,30135,30977,"Allentown/Bethlehem/Easton, PA","Chicago, IL",655,77,292.90,UA,0.9136,295.53,AA,0.0340,207.35,0,,,202433013530977
Table 6,2024,3,30135,31057,"Allentown/Bethlehem/Easton, PA","Charlotte, NC",481,78,266.36,AA,0.9611,267.10,AA,0.9611,267.10,0,,,202433013531057
Table 6,2024,3,30135,31135,"Allentown/Bethlehem/Easton, PA","Myrtle Beach, SC",518,144,84.50,G4,0.9758,80.16,G4,0.9758,80.16,0,,,202433013531135
Table 6,2024,3,30135,31136,"Allentown/Bethlehem/Easton, PA","Jacksonville, FL",783,13,249.04,AA,0.4202,212.27,AA,0.4202,212.27,0,,,202433013531136
Table 6,2024,3,30135,31453,"Allentown/Bethlehem/Easton, PA","Houston, TX",1350,13,331.05,AA,0.3529,259.19,AA,0.3529,259.19,0,,,202433013531453
Table 6,2024,3,30135,31454,"Allentown/Bethlehem/Easton, PA","Orlando, FL",906,63,136.96,G4,0.7309,78.89,G4,0.7309,78.89,0,,,202433013531454
Table 6,2024,3,30135,32457,"Allentown/Bethlehem/Easton, PA","San Francisco, CA (Metropolitan Area)",2500,16,377.34,DL,0.3562,339.62,AA,0.2740,312.83,0,,,202433013532457
Table 6,2024,3,30135,32467,"Allentown/Bethlehem/Easton, PA","Miami, FL (Metropolitan Area)",1061,45,146.32,G4,0.7676,97.15,G4,0.7676,97.15,0,,,202433013532467
Table 6,2024,3,30135,32575,"Allentown/Bethlehem/Easton, PA","Los Angeles, CA (Metropolitan Area)",2388,24,417.51,DL,0.4311,492.57,AA,0.2356,375.23,0,,,202433013532575
Table 6,2024,3,30135,33195,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",970,216,102.75,G4,0.9422,90.50,G4,0.9422,90.50,0,,,202433013533195
Table 6,2024,3,30135,33198,"Allentown/Bethlehem/Easton, PA","Kansas City, MO",1025,11,289.67,DL,0.2828,292.90,DL,0.2828,292.90,0,,,202433013533198
Table 6,2024,3,30135,33360,"Allentown/Bethlehem/Easton, PA","Melbourne, FL",914,15,148.12,G4,0.7535,78.59,G4,0.7535,78.59,0,,,202433013533360
Table 6,2024,3,30135,33570,"Allentown/Bethlehem/Easton, PA","San Diego, CA",2359,10,372.54,AA,0.3723,373.52,AA,0.3723,373.52,0,,,202433013533570
Table 6,2024,3,30135,34082,"Allentown/Bethlehem/Easton, PA","Punta Gorda, FL",1018,135,88.24,G4,1.0000,88.24,G4,1.0000,88.24,0,,,202433013534082
Table 6,2024,3,30135,34685,"Allentown/Bethlehem/Easton, PA","Savannah, GA",669,12,252.03,AA,0.5357,261.40,DL,0.3036,238.97,0,,,202433013534685
Table 6,2024,3,30135,34761,"Allentown/Bethlehem/Easton, PA","Sanford, FL",882,289,82.94,G4,1.0000,82.94,G4,1.0000,82.94,-1,,,202433013534761
Table 6,2024,3,30135,34986,"Allentown/Bethlehem/Easton, PA","Sarasota/Bradenton, FL",1000,68,95.18,G4,0.9567,80.46,G4,0.9567,80.46,0,,,202433013534986
Table 6,2024,3,30136,30194,"Abilene, TX","Dallas/Fort Worth, TX",158,13,302.53,AA,1.0000,302.53,AA,1.0000,302.53,0,,,202433013630194
Table 6,2024,3,30136,30325,"Abilene, TX","Denver, CO",584,17,291.41,AA,0.9935,291.75,AA,0.9935,291.75,0,,,202433013630325
Table 6,2024,3,30136,30559,"Abilene, TX","Seattle, WA",1577,13,373.23,AA,0.8833,376.72,AS,0.1167,346.86,0,,,202433013630559
Table 6,2024,3,30136,30852,"Abilene, TX","Washington, DC (Metropolitan Area)",1370,16,332.72,AA,0.9524,334.60,AA,0.9524,334.60,0,,,202433013630852
Table 6,2024,3,30136,31453,"Abilene, TX","Houston, TX",323,13,263.64,AA,0.9831,261.70,AA,0.9831,261.70,0,,,202433013631453
Table 6,2024,3,30136,31454,"Abilene, TX","Orlando, FL",1129,13,334.20,AA,0.9919,334.68,AA,0.9919,334.68,0,,,202433013631454
Table 6,2024,3,30136,32211,"Abilene, TX","Las Vegas, NV",920,11,410.21,AA,1.0000,410.21,AA,1.0000,410.21,0,,,202433013632211
Table 6,2024,3,30136,32575,"Abilene, TX","Los Angeles, CA (Metropolitan Area)",1089,16,354.75,AA,0.9868,355.13,AA,0.9868,355.13,0,,,202433013632575
Table 6,2024,3,30140,30189,"Albuquerque, NM","Colorado Springs, CO",280,11,267.95,UA,0.5769,277.26,WN,0.4135,254.78,0,,,202433014030189
Table 6,2024,3,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",580,550,223.12,WN,0.5485,202.41,WN,0.5485,202.41,-1,,,202433014030194
Table 6,2024,3,30140,30198,"Albuquerque, NM","Pittsburgh, PA",1486,64,276.27,WN,0.5476,245.12,WN,0.5476,245.12,0,,,202433014030198
Table 6,2024,3,30140,30255,"Albuquerque, NM","Huntsville, AL",1126,26,347.64,AA,0.6314,332.25,AA,0.6314,332.25,0,,,202433014030255
Table 6,2024,3,30140,30325,"Albuquerque, NM","Denver, CO",349,458,173.61,WN,0.6690,165.50,WN,0.6690,165.50,-1,,,202433014030325
Table 6,2024,3,30140,30397,"Albuquerque, NM","Atlanta, GA (Metropolitan Area)",1269,214,329.77,DL,0.7135,353.06,WN,0.1978,272.74,0,,,202433014030397
Table 6,2024,3,30140,30408,"Albuquerque, NM","Appleton, WI",1152,10,324.61,UA,0.3978,319.68,AA,0.3871,283.70,0,,,202433014030408
Table 6,2024,3,30140,30423,"Albuquerque, NM","Austin, TX",619,276,219.17,WN,0.8914,217.36,WN,0.8914,217.36,-1,,,202433014030423
Table 6,2024,3,30140,30431,"Albuquerque, NM","Asheville, NC",1358,20,279.38,AA,0.4462,271.76,UA,0.1075,251.80,0,,,202433014030431
Table 6,2024,3,30140,30436,"Albuquerque, NM","Tucson, AZ",321,17,257.70,AA,1.0000,257.70,AA,1.0000,257.70,0,,,202433014030436
Table 6,2024,3,30140,30466,"Albuquerque, NM","Phoenix, AZ",328,621,187.30,WN,0.7507,179.39,WN,0.7507,179.39,-1,,,202433014030466
Table 6,2024,3,30140,30476,"Albuquerque, NM","Shreveport, LA",757,12,261.70,AA,0.8165,238.80,AA,0.8165,238.80,0,,,202433014030476
Table 6,2024,3,30140,30529,"Albuquerque, NM","Hartford, CT",1886,54,315.22,WN,0.4447,283.37,WN,0.4447,283.37,0,,,202433014030529
Table 6,2024,3,30140,30559,"Albuquerque, NM","Seattle, WA",1180,439,242.54,AS,0.6498,250.01,WN,0.1708,228.90,-1,,,202433014030559
Table 6,2024,3,30140,30599,"Albuquerque, NM","Birmingham, AL",1138,27,288.91,WN,0.5466,262.93,WN,0.5466,262.93,0,,,202433014030599
Table 6,2024,3,30140,30647,"Albuquerque, NM","Cleveland, OH (Metropolitan Area)",1427,57,298.88,WN,0.4198,252.95,WN,0.4198,252.95,0,,,202433014030647
Table 6,2024,3,30140,30693,"Albuquerque, NM","Nashville, TN",1123,123,262.26,WN,0.6427,251.95,WN,0.6427,251.95,0,,,202433014030693
Table 6,2024,3,30140,30713,"Albuquerque, NM","Boise, ID",781,51,252.35,WN,0.5699,247.59,WN,0.5699,247.59,0,,,202433014030713
Table 6,2024,3,30140,30721,"Albuquerque, NM","Boston, MA (Metropolitan Area)",1974,223,323.52,WN,0.4094,280.68,WN,0.4094,280.68,0,,,202433014030721
Table 6,2024,3,30140,30781,"Albuquerque, NM","Baton Rouge, LA",951,10,236.62,AA,0.7527,242.75,UA,0.2151,194.25,0,,,202433014030781
Table 6,2024,3,30140,30785,"Albuquerque, NM","Burlington, VT",1881,15,360.49,UA,0.6115,357.74,UA,0.6115,357.74,0,,,202433014030785
Table 6,2024,3,30140,30792,"Albuquerque, NM","Buffalo, NY",1588,32,315.95,WN,0.5734,274.54,WN,0.5734,274.54,0,,,202433014030792
Table 6,2024,3,30140,30849,"Albuquerque, NM","Bozeman, MT",778,23,244.40,WN,0.6971,236.30,WN,0.6971,236.30,0,,,202433014030849
Table 6,2024,3,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,499,324.81,WN,0.6181,303.22,WN,0.6181,303.22,-1,,,202433014030852
Table 6,2024,3,30140,30868,"Albuquerque, NM","Columbia, SC",1453,18,323.92,AA,0.4588,236.66,AA,0.4588,236.66,0,,,202433014030868
Table 6,2024,3,30140,30928,"Albuquerque, NM","Wichita, KS",542,13,253.23,AA,0.3697,305.62,WN,0.3529,218.17,0,,,202433014030928
Table 6,2024,3,30140,30977,"Albuquerque, NM","Chicago, IL",1121,395,255.59,WN,0.4587,233.99,WN,0.4587,233.99,-1,,,202433014030977
Table 6,2024,3,30140,30980,"Albuquerque, NM","Chattanooga, TN",1211,12,292.83,AA,0.5217,277.48,AA,0.5217,277.48,0,,,202433014030980
Table 6,2024,3,30140,30994,"Albuquerque, NM","Charleston, SC",1528,24,296.76,WN,0.4775,242.97,WN,0.4775,242.97,0,,,202433014030994
Table 6,2024,3,30140,31003,"Albuquerque, NM","Cedar Rapids/Iowa City, IA",934,10,278.78,AA,0.4468,296.67,DL,0.1064,219.30,0,,,202433014031003
Table 6,2024,3,30140,31057,"Albuquerque, NM","Charlotte, NC",1449,65,267.94,AA,0.4605,306.58,WN,0.2555,231.96,0,,,202433014031057
Table 6,2024,3,30140,31066,"Albuquerque, NM","Columbus, OH",1342,65,291.21,WN,0.5633,258.28,WN,0.5633,258.28,0,,,202433014031066
Table 6,2024,3,30140,31123,"Albuquerque, NM","St. Louis, MO",934,82,258.56,WN,0.6627,246.18,WN,0.6627,246.18,0,,,202433014031123
Table 6,2024,3,30140,31135,"Albuquerque, NM","Myrtle Beach, SC",1580,15,298.41,WN,0.5000,269.32,WN,0.5000,269.32,0,,,202433014031135
Table 6,2024,3,30140,31136,"Albuquerque, NM","Jacksonville, FL",1480,40,290.11,WN,0.3470,232.13,WN,0.3470,232.13,0,,,202433014031136
Table 6,2024,3,30140,31140,"Albuquerque, NM","Corpus Christi, TX",734,17,225.44,WN,0.6346,211.46,WN,0.6346,211.46,0,,,202433014031140
Table 6,2024,3,30140,31267,"Albuquerque, NM","Dayton, OH",1272,23,301.46,AA,0.7488,290.82,AA,0.7488,290.82,0,,,202433014031267
Table 6,2024,3,30140,31295,"Albuquerque, NM","Detroit, MI",1347,95,298.07,DL,0.2929,390.81,WN,0.2700,255.62,0,,,202433014031295
Table 6,2024,3,30140,31423,"Albuquerque, NM","Des Moines, IA",833,23,276.52,WN,0.3488,220.33,WN,0.3488,220.33,0,,,202433014031423
Table 6,2024,3,30140,31453,"Albuquerque, NM","Houston, TX",759,360,272.74,WN,0.5567,253.54,WN,0.5567,253.54,-1,,,202433014031453
Table 6,2024,3,30140,31454,"Albuquerque, NM","Orlando, FL",1553,198,254.87,WN,0.6091,242.48,AA,0.1974,241.75,0,,,202433014031454
Table 6,2024,3,30140,31481,"Albuquerque, NM","Panama City, FL",1252,21,246.92,WN,0.7000,218.03,WN,0.7000,218.03,0,,,202433014031481
Table 6,2024,3,30140,31504,"Albuquerque, NM","Valparaiso, FL",1208,28,266.39,WN,0.4803,228.76,WN,0.4803,228.76,0,,,202433014031504
Table 6,2024,3,30140,31603,"Albuquerque, NM","Eugene, OR",1082,29,277.70,WN,0.5093,263.94,AA,0.1784,237.43,0,,,202433014031603
Table 6,2024,3,30140,31637,"Albuquerque, NM","Fargo, ND",965,12,287.34,UA,0.5088,307.18,DL,0.1404,251.73,0,,,202433014031637
Table 6,2024,3,30140,31638,"Albuquerque, NM","Fresno, CA",744,31,246.19,WN,0.5936,226.97,WN,0.5936,226.97,0,,,202433014031638
Table 6,2024,3,30140,31650,"Albuquerque, NM","Minneapolis/St. Paul, MN",981,210,206.57,DL,0.5274,227.42,SY,0.1584,93.98,0,,,202433014031650
Table 6,2024,3,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,511,270.65,B6,0.4007,205.02,B6,0.4007,205.02,-1,,,202433014031703
Table 6,2024,3,30140,31714,"Albuquerque, NM","Fort Myers, FL",1584,20,327.15,AA,0.3607,313.66,WN,0.2568,273.26,0,,,202433014031714
Table 6,2024,3,30140,31775,"Albuquerque, NM","Sioux Falls, SD",791,13,261.21,UA,0.5726,274.44,AA,0.2991,238.99,0,,,202433014031775
Table 6,2024,3,30140,31834,"Albuquerque, NM","Fayetteville, AR",697,13,300.37,AA,0.6207,305.23,UA,0.3707,285.77,0,,,202433014031834
Table 6,2024,3,30140,31871,"Albuquerque, NM","Greenville/Spartanburg, SC",1381,22,309.82,AA,0.3433,321.92,UA,0.1891,256.43,0,,,202433014031871
Table 6,2024,3,30140,31884,"Albuquerque, NM","Spokane, WA",1035,48,289.93,WN,0.5079,279.46,WN,0.5079,279.46,0,,,202433014031884
Table 6,2024,3,30140,31977,"Albuquerque, NM","Green Bay, WI",1176,10,352.79,UA,0.5957,286.07,UA,0.5957,286.07,0,,,202433014031977
Table 6,2024,3,30140,31986,"Albuquerque, NM","Grand Rapids, MI",1253,39,282.03,WN,0.3296,248.44,WN,0.3296,248.44,0,,,202433014031986
Table 6,2024,3,30140,31995,"Albuquerque, NM","Greensboro/High Point, NC",1499,23,266.86,DL,0.4292,261.08,AA,0.4245,257.34,0,,,202433014031995
Table 6,2024,3,30140,32070,"Albuquerque, NM","Harrisburg, PA",1667,12,307.29,AA,0.4685,317.92,DL,0.1982,265.35,0,,,202433014032070
Table 6,2024,3,30140,32206,"Albuquerque, NM","Harlingen/San Benito, TX",807,15,214.47,WN,0.7163,215.08,WN,0.7163,215.08,0,,,202433014032206
Table 6,2024,3,30140,32211,"Albuquerque, NM","Las Vegas, NV",486,620,164.86,WN,0.7442,185.20,NK,0.2295,90.95,-1,,,202433014032211
Table 6,2024,3,30140,32323,"Albuquerque, NM","Wilmington, NC",1630,11,332.73,AA,0.5743,352.76,DL,0.4257,305.72,0,,,202433014032323
Table 6,2024,3,30140,32337,"Albuquerque, NM","Indianapolis, IN",1161,68,292.52,WN,0.5192,277.07,WN,0.5192,277.07,0,,,202433014032337
Table 6,2024,3,30140,32448,"Albuquerque, NM","Jackson/Vicksburg, MS",970,16,300.18,WN,0.4295,224.84,WN,0.4295,224.84,0,,,202433014032448
Table 6,2024,3,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,533,234.34,WN,0.5777,223.47,WN,0.5777,223.47,-1,,,202433014032457
Table 6,2024,3,30140,32467,"Albuquerque, NM","Miami, FL (Metropolitan Area)",1689,114,310.50,WN,0.4558,267.19,WN,0.4558,267.19,0,,,202433014032467
Table 6,2024,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,910,215.90,WN,0.5959,202.02,WN,0.5959,202.02,-1,,,202433014032575
Table 6,2024,3,30140,32600,"Albuquerque, NM","Little Rock, AR",817,26,268.72,WN,0.5144,251.51,WN,0.5144,251.51,0,,,202433014032600
Table 6,2024,3,30140,32945,"Albuquerque, NM","Lexington, KY",1238,14,287.08,AA,0.5227,258.40,AA,0.5227,258.40,0,,,202433014032945
Table 6,2024,3,30140,33044,"Albuquerque, NM","Louisville, KY",1178,35,262.27,WN,0.5046,240.39,WN,0.5046,240.39,0,,,202433014033044
Table 6,2024,3,30140,33105,"Albuquerque, NM","Cincinnati, OH",1241,43,286.72,AA,0.3233,273.46,WN,0.2130,227.02,0,,,202433014033105
Table 6,2024,3,30140,33192,"Albuquerque, NM","Sacramento, CA",866,131,244.07,WN,0.6728,244.06,WN,0.6728,244.06,0,,,202433014033192
Table 6,2024,3,30140,33195,"Albuquerque, NM","Tampa, FL (Metropolitan Area)",1498,84,291.43,WN,0.5550,258.94,WN,0.5550,258.94,0,,,202433014033195
Table 6,2024,3,30140,33198,"Albuquerque, NM","Kansas City, MO",718,145,235.99,WN,0.8896,232.69,AA,0.0518,229.23,0,,,202433014033198
Table 6,2024,3,30140,33214,"Albuquerque, NM","San Antonio, TX",609,150,200.50,WN,0.4424,229.27,UA,0.1926,173.99,0,,,202433014033214
Table 6,2024,3,30140,33244,"Albuquerque, NM","Memphis, TN",942,29,291.44,WN,0.3962,244.83,WN,0.3962,244.83,0,,,202433014033244
Table 6,2024,3,30140,33256,"Albuquerque, NM","Mission/McAllen/Edinburg, TX",788,13,239.00,AA,0.8595,231.30,AA,0.8595,231.30,0,,,202433014033256
Table 6,2024,3,30140,33264,"Albuquerque, NM","Medford, OR",1012,16,304.48,UA,0.4685,271.99,UA,0.4685,271.99,0,,,202433014033264
Table 6,2024,3,30140,33316,"Albuquerque, NM","Omaha, NE",725,40,247.03,WN,0.6110,234.76,WN,0.6110,234.76,0,,,202433014033316
Table 6,2024,3,30140,33342,"Albuquerque, NM","Milwaukee, WI",1142,43,276.36,WN,0.6599,255.91,WN,0.6599,255.91,0,,,202433014033342
Table 6,2024,3,30140,33485,"Albuquerque, NM","Madison, WI",1081,23,270.58,UA,0.4545,280.81,AA,0.3971,243.85,0,,,202433014033485
Table 6,2024,3,30140,33486,"Albuquerque, NM","Missoula, MT",907,15,321.08,DL,0.4667,322.71,AA,0.1556,316.38,0,,,202433014033486
Table 6,2024,3,30140,33495,"Albuquerque, NM","New Orleans, LA",1014,65,250.09,WN,0.5769,240.77,WN,0.5769,240.77,0,,,202433014033495
Table 6,2024,3,30140,33570,"Albuquerque, NM","San Diego, CA",628,325,235.23,WN,0.8009,244.90,AA,0.1024,215.96,-1,,,202433014033570
Table 6,2024,3,30140,33667,"Albuquerque, NM","Norfolk, VA (Metropolitan Area)",1702,40,311.66,WN,0.3597,265.23,WN,0.3597,265.23,0,,,202433014033667
Table 6,2024,3,30140,33728,"Albuquerque, NM","Pensacola, FL",1172,32,246.13,WN,0.5306,220.03,WN,0.5306,220.03,0,,,202433014033728
Table 6,2024,3,30140,33851,"Albuquerque, NM","Oklahoma City, OK",510,33,281.76,WN,0.4536,236.30,WN,0.4536,236.30,0,,,202433014033851
Table 6,2024,3,30140,34027,"Albuquerque, NM","West Palm Beach/Palm Beach, FL",1671,21,353.15,DL,0.4467,383.75,AA,0.4365,343.37,0,,,202433014034027
Table 6,2024,3,30140,34057,"Albuquerque, NM","Portland, OR",1111,265,231.21,AS,0.4392,264.80,WN,0.2736,205.57,-1,,,202433014034057
Table 6,2024,3,30140,34100,"Albuquerque, NM","Philadelphia, PA",1747,106,318.98,AA,0.4433,340.03,WN,0.3136,279.68,0,,,202433014034100
Table 6,2024,3,30140,34252,"Albuquerque, NM","Pasco/Kennewick/Richland, WA",1013,19,329.00,DL,0.4886,362.55,UA,0.1932,276.84,0,,,202433014034252
Table 6,2024,3,30140,34262,"Albuquerque, NM","Palm Springs, CA",571,14,284.63,AA,0.5267,297.54,WN,0.3435,223.11,0,,,202433014034262
Table 6,2024,3,30140,34321,"Albuquerque, NM","Portland, ME",2015,37,334.22,WN,0.5727,288.58,WN,0.5727,288.58,0,,,202433014034321
Table 6,2024,3,30140,34457,"Albuquerque, NM","Rapid City, SD",649,20,267.72,UA,0.9617,267.14,AA,0.0328,262.33,0,,,202433014034457
Table 6,2024,3,30140,34489,"Albuquerque, NM","Bend/Redmond, OR",1000,14,337.96,UA,0.3609,337.18,AA,0.2707,320.64,0,,,202433014034489
Table 6,2024,3,30140,34492,"Albuquerque, NM","Raleigh/Durham, NC",1565,82,316.00,WN,0.4346,271.90,WN,0.4346,271.90,0,,,202433014034492
Table 6,2024,3,30140,34524,"Albuquerque, NM","Richmond, VA",1637,36,318.03,AA,0.3343,308.54,WN,0.2537,277.04,0,,,202433014034524
Table 6,2024,3,30140,34570,"Albuquerque, NM","Reno, NV",787,64,240.72,WN,0.6872,239.12,WN,0.6872,239.12,0,,,202433014034570
Table 6,2024,3,30140,34576,"Albuquerque, NM","Rochester, NY",1643,28,293.29,WN,0.4941,254.82,WN,0.4941,254.82,0,,,202433014034576
Table 6,2024,3,30140,34614,"Albuquerque, NM","Salt Lake City, UT",493,214,262.75,DL,0.7652,280.28,WN,0.1643,205.26,0,,,202433014034614
Table 6,2024,3,30140,34653,"Albuquerque, NM","Tulsa, OK",608,35,257.37,WN,0.6502,226.86,WN,0.6502,226.86,0,,,202433014034653
Table 6,2024,3,30140,34685,"Albuquerque, NM","Savannah, GA",1475,18,281.33,WN,0.4438,232.17,WN,0.4438,232.17,0,,,202433014034685
Table 6,2024,3,30140,34689,"Albuquerque, NM","Santa Barbara, CA",754,22,236.95,WN,0.4848,212.77,WN,0.4848,212.77,0,,,202433014034689
Table 6,2024,3,30140,34783,"Albuquerque, NM","Springfield, MO",754,12,274.90,AA,0.6937,278.65,UA,0.2883,270.06,0,,,202433014034783
Table 6,2024,3,30140,34922,"Albuquerque, NM","Salinas/Monterey, CA",861,11,326.61,AA,0.9293,319.11,AA,0.9293,319.11,0,,,202433014034922
Table 6,2024,3,30140,34986,"Albuquerque, NM","Sarasota/Bradenton, FL",1514,17,280.16,WN,0.4906,214.51,WN,0.4906,214.51,0,,,202433014034986
Table 6,2024,3,30140,35096,"Albuquerque, NM","Syracuse, NY",1721,23,294.41,UA,0.4038,264.64,UA,0.4038,264.64,0,,,202433014035096
Table 6,2024,3,30140,35380,"Albuquerque, NM","Traverse City, MI",1297,10,296.93,UA,0.5161,283.49,UA,0.5161,283.49,0,,,202433014035380
Table 6,2024,3,30140,35412,"Albuquerque, NM","Knoxville, TN",1274,45,348.29,AA,0.5215,305.88,AA,0.5215,305.88,0,,,202433014035412
Table 6,2024,3,30141,31650,"Aberdeen, SD","Minneapolis/St. Paul, MN",257,18,170.51,DL,1.0000,170.51,DL,1.0000,170.51,0,,,202433014131650
Table 6,2024,3,30154,30693,"Nantucket, MA","Nashville, TN",964,12,322.53,AA,0.5304,296.91,AA,0.5304,296.91,0,,,202433015430693
Table 6,2024,3,30154,30852,"Nantucket, MA","Washington, DC (Metropolitan Area)",423,207,190.53,B6,0.5815,170.25,B6,0.5815,170.25,0,,,202433015430852
Table 6,2024,3,30154,31454,"Nantucket, MA","Orlando, FL",1089,11,311.23,B6,0.7629,308.82,AA,0.1340,227.77,0,,,202433015431454
Table 6,2024,3,30154,31703,"Nantucket, MA","New York City, NY (Metropolitan Area)",218,771,206.64,B6,0.7026,194.66,B6,0.7026,194.66,-1,,,202433015431703
Table 6,2024,3,30408,31066,"Appleton, WI","Columbus, OH",412,14,299.24,UA,0.3760,308.47,AA,0.2640,262.46,0,,,202433040831066
Table 6,2024,3,30154,32457,"Nantucket, MA","San Francisco, CA (Metropolitan Area)",2768,24,665.72,B6,0.5541,661.90,UA,0.2207,639.96,0,,,202433015432457
Table 6,2024,3,30154,34027,"Nantucket, MA","West Palm Beach/Palm Beach, FL",1156,31,307.07,B6,0.7801,274.83,B6,0.7801,274.83,0,,,202433015434027
Table 6,2024,3,30154,34100,"Nantucket, MA","Philadelphia, PA",289,39,313.37,AA,0.7472,303.79,B6,0.1685,286.05,0,,,202433015434100
Table 6,2024,3,30154,34492,"Nantucket, MA","Raleigh/Durham, NC",600,13,302.11,B6,0.3443,293.50,AA,0.2869,233.10,0,,,202433015434492
Table 6,2024,3,30157,30466,"Eureka/Arcata, CA","Phoenix, AZ",845,18,272.56,UA,0.9882,272.76,UA,0.9882,272.76,0,,,202433015730466
Table 6,2024,3,30157,30559,"Eureka/Arcata, CA","Seattle, WA",456,10,332.37,UA,0.9895,326.03,UA,0.9895,326.03,0,,,202433015730559
Table 6,2024,3,30157,30852,"Eureka/Arcata, CA","Washington, DC (Metropolitan Area)",2486,21,415.19,UA,0.9845,416.10,UA,0.9845,416.10,0,,,202433015730852
Table 6,2024,3,30157,31703,"Eureka/Arcata, CA","New York City, NY (Metropolitan Area)",2594,15,389.83,UA,0.9353,394.00,UA,0.9353,394.00,0,,,202433015731703
Table 6,2024,3,30157,32211,"Eureka/Arcata, CA","Las Vegas, NV",591,13,291.94,UA,1.0000,291.94,UA,1.0000,291.94,0,,,202433015732211
Table 6,2024,3,30157,32457,"Eureka/Arcata, CA","San Francisco, CA (Metropolitan Area)",250,66,217.14,UA,1.0000,217.14,UA,1.0000,217.14,0,,,202433015732457
Table 6,2024,3,30157,32575,"Eureka/Arcata, CA","Los Angeles, CA (Metropolitan Area)",609,238,146.02,XP,0.6601,90.58,XP,0.6601,90.58,-1,,,202433015732575
Table 6,2024,3,30157,33570,"Eureka/Arcata, CA","San Diego, CA",685,32,298.32,UA,0.9828,296.43,UA,0.9828,296.43,0,,,202433015733570
Table 6,2024,3,30158,31135,"Atlantic City, NJ","Myrtle Beach, SC",466,141,85.03,NK,0.9985,84.78,NK,0.9985,84.78,0,,,202433015831135
Table 6,2024,3,30158,31454,"Atlantic City, NJ","Orlando, FL",852,478,100.08,NK,0.9980,99.77,NK,0.9980,99.77,-1,,,202433015831454
Table 6,2024,3,30158,31714,"Atlantic City, NJ","Fort Myers, FL",982,163,85.72,NK,1.0000,85.72,NK,1.0000,85.72,0,,,202433015831714
Table 6,2024,3,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",998,265,95.35,NK,0.9984,95.05,NK,0.9984,95.05,-1,,,202433015832467
Table 6,2024,3,30158,33195,"Atlantic City, NJ","Tampa, FL (Metropolitan Area)",913,211,96.10,NK,0.9969,95.90,NK,0.9969,95.90,0,,,202433015833195
Table 6,2024,3,30158,34027,"Atlantic City, NJ","West Palm Beach/Palm Beach, FL",936,170,88.25,NK,0.9987,87.95,NK,0.9987,87.95,0,,,202433015834027
Table 6,2024,3,30185,30194,"Alexandria, LA","Dallas/Fort Worth, TX",285,18,324.57,AA,0.9941,325.35,AA,0.9941,325.35,0,,,202433018530194
Table 6,2024,3,30185,30397,"Alexandria, LA","Atlanta, GA (Metropolitan Area)",500,36,272.68,DL,0.9633,273.26,AA,0.0245,231.88,0,,,202433018530397
Table 6,2024,3,30185,30559,"Alexandria, LA","Seattle, WA",1924,11,441.89,AA,0.8317,416.54,AA,0.8317,416.54,0,,,202433018530559
Table 6,2024,3,30185,30693,"Alexandria, LA","Nashville, TN",473,14,288.34,DL,0.6746,253.98,DL,0.6746,253.98,0,,,202433018530693
Table 6,2024,3,30185,30852,"Alexandria, LA","Washington, DC (Metropolitan Area)",1046,18,345.51,DL,0.8698,323.35,DL,0.8698,323.35,0,,,202433018530852
Table 6,2024,3,30185,30977,"Alexandria, LA","Chicago, IL",778,12,367.26,DL,0.5140,411.03,AA,0.4673,321.91,0,,,202433018530977
Table 6,2024,3,30185,31454,"Alexandria, LA","Orlando, FL",703,12,344.26,DL,0.7248,343.37,DL,0.7248,343.37,0,,,202433018531454
Table 6,2024,3,30185,32211,"Alexandria, LA","Las Vegas, NV",1339,13,471.05,AA,0.8220,464.49,AA,0.8220,464.49,0,,,202433018532211
